Mã,Sàn,Action,Conf,MFPM,Macro,MacroScore,BCTC Risk,Days→BCTC,FundScore,W-Score,SMS,SMS Label,Mode,Giá,Vào lệnh,Cắt lỗ,SL%,TP1,TP2,R:R,RSI14,ATR14,SMA20,Vol,AvgVol20d,M-CVD5d,M-CVD Trend,Stealth,Dist Warn,AMD,HMM,AMF,Pattern,Sector Flow,PT Net 5d,PT Ratio 5d,Sizing%,Sizing Qty,Sector,Trend Warning,Dự báo,FC Conf%,T+ Verdict,A×T+ Ý nghĩa,T+ Exit,T+ Conf%
TCO,HOSE,WATCH,LOW,53,NEUTRAL,0.0,SAFE,,,53,35,RETAIL_DRIVEN,MODE_A,15300.0,15300.0,14150.0,-7.52,18300.0,21250.0,2.61,51.4,746.0,15365.0,55000,390740,0.0,FLAT,False,NONE,MARKUP,TRANSITIONAL,PASS,VCP,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,83.0,CHO_XAC_NHAN,Co manh moi quan sat nhung chua du xac suat de vao lenh; uu tien cho them xac nhan.,"Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 14,650.0 | T+2.5 16,650.0 | T+5 17,550.0",95.0
TNT,HOSE,NO_ACTION,—,45,NEUTRAL,0.0,SAFE,,,48,48,RETAIL_DRIVEN,MODE_B,11700.0,11700.0,10950.0,-6.41,13700.0,15650.0,2.67,75.5,496.0,10455.0,344800,88735,187590.0,UP,False,NONE,MARKUP,TRANSITIONAL,WARN,NONE,NEUTRAL,0.0,0.0,0.0,0,,BREAKOUT_EMERGING,TĂNG,50.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 11,300.0 | T+2.5 12,700.0 | T+5 13,450.0",95.0
PGC,HOSE,NO_ACTION,—,40,NEUTRAL,0.0,SAFE,,,30,30,WHALE_DISTRIBUTING,MODE_A,13600.0,13600.0,13150.0,-3.31,14450.0,15350.0,1.89,53.6,218.0,13625.0,400,39250,0.0,FLAT,False,NONE,RANGING,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,RANGE_COMPRESSION,TRUNG LẬP,49.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 13,400.0 | T+2.5 13,950.0 | T+5 14,200.0",95.0
PVT,HOSE,NO_ACTION,—,40,NEUTRAL,0.0,SAFE,,,43,43,RETAIL_DRIVEN,MODE_A,23100.0,23100.0,21400.0,-7.36,27550.0,32000.0,2.62,54.5,1114.0,23095.0,1122500,8155770,0.0,FLAT,False,NONE,RANGING,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,59.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 22,100.0 | T+2.5 25,100.0 | T+5 26,450.0",95.0
SHA,HOSE,NO_ACTION,—,40,NEUTRAL,0.0,SAFE,,,43,43,RETAIL_DRIVEN,MODE_A,3960.0,3960.0,3840.0,-3.03,4270.0,4590.0,2.58,48.8,79.0,3964.0,1100,8000,0.0,FLAT,False,NONE,ACCUMULATION,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,RANGE_COMPRESSION,TĂNG,70.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 3,880.0 | T+2.5 4,090.0 | T+5 4,180.0",95.0
PTB,HOSE,NO_ACTION,—,35,NEUTRAL,0.0,SAFE,,,32,32,RETAIL_DRIVEN,MODE_A,39950.0,39950.0,38500.0,-3.63,43800.0,47650.0,2.66,53.2,961.0,39996.0,22700,97240,0.0,FLAT,False,NONE,RANGING,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,62.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 39,100.0 | T+2.5 41,700.0 | T+5 42,850.0",95.0
HDA,HNX,NO_ACTION,—,35,NEUTRAL,0.0,SAFE,,,33,33,RETAIL_DRIVEN,MODE_A,6800.0,6800.0,6300.0,-7.35,8110.0,9430.0,2.62,52.2,329.0,6700.0,4300,46875,0.0,UP,False,NONE,MARKUP,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,UPTREND_STRENGTHENING,TĂNG,62.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 6,500.0 | T+2.5 7,390.0 | T+5 7,790.0",95.0
PCH,HNX,NO_ACTION,—,35,NEUTRAL,0.0,SAFE,,,49,39,RETAIL_DRIVEN,MODE_A,22500.0,22300.0,21600.0,-3.14,23550.0,24750.0,1.79,60.0,307.0,22125.0,50100,101615,0.0,FLAT,False,NONE,MARKUP,STEADY_BULL,PASS,CUP_WITH_HANDLE,NEUTRAL,0.0,0.0,3.72,500,,UPTREND_STRENGTHENING,TĂNG,58.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 22,200.0 | T+2.5 22,950.0 | T+5 23,250.0",95.0
SRC,HOSE,NO_ACTION,—,30,NEUTRAL,0.0,SAFE,,,42,42,RETAIL_DRIVEN,MODE_A,54000.0,54000.0,52300.0,-3.15,58000.0,62100.0,2.35,55.2,1007.0,53305.0,4000,4230,4740.0,UP,False,NONE,MARKUP,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,9.0,500,,UPTREND_STRENGTHENING,TĂNG,95.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 53,100.0 | T+2.5 55,800.0 | T+5 57,000.0",95.0
PSE,HNX,NO_ACTION,—,30,NEUTRAL,0.0,SAFE,,,40,40,RETAIL_DRIVEN,MODE_A,11000.0,11000.0,10650.0,-3.18,11300.0,11650.0,0.86,42.9,79.0,11080.0,100,1410,0.0,FLAT,False,NONE,ACCUMULATION,TRANSITIONAL,PASS,NONE,NEUTRAL,0.0,0.0,0.0,0,,RANGE_COMPRESSION,TĂNG,53.0,CHO_XAC_NHAN,"Nen dung ngoai. T+ cho thay can them xac nhan, trong khi Action chua ung ho mua.","Chua vao ngay. Khi co xac nhan, tham chieu ke hoach: SL 10,900.0 | T+2.5 11,150.0 | T+5 11,200.0",95.0
